seed,budget,y_true,y_pred,min_cost,pred_cost,regret,rel_regret
32063195,50,aco,aco,12.836861066927296,12.836861066927296,0.0,0.0
166130234,50,aco,aco,13.701839910325443,13.701839910325443,0.0,0.0
70209920,50,ga,ga,16.12299339168592,16.12299339168592,0.0,0.0
165691422,50,aco,aco,29.807228517190996,29.807228517190996,0.0,0.0
162280656,50,ga,ga,53.19002232700981,53.19002232700981,0.0,0.0
57753643,50,aco,aco,15.458244914132331,15.458244914132331,0.0,0.0
194373770,50,sa,sa,86.91379524634971,86.91379524634971,0.0,0.0
126986209,50,ga,ga,55.98995258961816,55.98995258961816,0.0,0.0
133847633,50,aco,aco,12.85586798055493,12.85586798055493,0.0,0.0
147151615,50,ga,ga,12.047406444586985,12.047406444586985,0.0,0.0
128043347,50,ga,ga,40.43547619677838,40.43547619677838,0.0,0.0
140729003,50,aco,aco,63.28986202439324,63.28986202439324,0.0,0.0
312683469,50,sa,sa,148.5019619531555,148.5019619531555,0.0,0.0
7011019,50,ga,ga,51.01823305882812,51.01823305882812,0.0,0.0
89996352,50,aco,aco,42.14862819899335,42.14862819899335,0.0,0.0
332978524,50,sa,sa,417.6812361006698,417.6812361006698,0.0,0.0
107159885,50,aco,aco,54.273599494579926,54.273599494579926,0.0,0.0
55609448,50,aco,aco,74.03368106168375,74.03368106168375,0.0,0.0
83932768,50,aco,aco,71.3729689848972,71.3729689848972,0.0,0.0
191401816,50,aco,aco,10.333794417211436,10.333794417211436,0.0,0.0
190733625,50,aco,aco,18.69963810712608,18.69963810712608,0.0,0.0
165801125,50,ga,ga,9.694543208545385,9.694543208545385,0.0,0.0
67347669,50,aco,aco,38.44192482491661,38.44192482491661,0.0,0.0
145595827,50,aco,aco,38.45022060338406,38.45022060338406,0.0,0.0
136251126,50,aco,aco,86.64124283908895,86.64124283908895,0.0,0.0
166938047,50,aco,aco,72.65159635164046,72.65159635164046,0.0,0.0
90544867,50,aco,aco,52.09484142731723,52.09484142731723,0.0,0.0
130207488,50,ga,ga,16.198972643924343,16.198972643924343,0.0,0.0
82197466,50,ga,sa,159.70740202229234,530.4856117716341,370.7782097493418,2.321609424825455
85558367,50,aco,aco,15.649051396860578,15.649051396860578,0.0,0.0
139133323,50,aco,aco,64.44826660888077,64.44826660888077,0.0,0.0
176073315,50,ga,ga,43.58559252208808,43.58559252208808,0.0,0.0
105614070,50,aco,aco,76.82072442696577,76.82072442696577,0.0,0.0
194523365,50,ga,ga,23.553992817028057,23.553992817028057,0.0,0.0
8626645,50,ga,ga,54.95487064240477,54.95487064240477,0.0,0.0
106092774,50,ga,ga,8.460738481861862,8.460738481861862,0.0,0.0
57474399,50,ga,ga,45.42565015959434,45.42565015959434,0.0,0.0
184360878,50,aco,aco,8.557229392397046,8.557229392397046,0.0,0.0
49376323,50,ga,ga,38.17020124842889,38.17020124842889,0.0,0.0
60416434,50,ga,ga,36.61833057506087,36.61833057506087,0.0,0.0
28034103,50,aco,aco,29.91798210082096,29.91798210082096,0.0,0.0
179992704,50,aco,aco,14.356289085729076,14.356289085729076,0.0,0.0
138036293,50,ga,ga,72.03789915814008,72.03789915814008,0.0,0.0
212913577,50,sa,sa,150.38179909621945,150.38179909621945,0.0,0.0
136869452,50,aco,aco,11.230609852937016,11.230609852937016,0.0,0.0
190923112,50,aco,aco,43.32699615688772,43.32699615688772,0.0,0.0
70419353,50,ga,ga,28.68147420771195,28.68147420771195,0.0,0.0
54073606,50,aco,aco,96.77308465481936,96.77308465481936,0.0,0.0
154222472,50,ga,ga,11.647896284491514,11.647896284491514,0.0,0.0
140539516,50,aco,aco,26.305794175410497,26.305794175410497,0.0,0.0
94683662,50,aco,aco,67.99424286362122,67.99424286362122,0.0,0.0
85987206,50,aco,aco,18.620261918606403,18.620261918606403,0.0,0.0
605710155,50,sa,sa,56.18182204256591,56.18182204256591,0.0,0.0
31055922,50,aco,aco,77.76733035137934,77.76733035137934,0.0,0.0
117691373,50,aco,aco,20.39473717176105,20.39473717176105,0.0,0.0
109812703,50,aco,aco,10.13352078442094,10.13352078442094,0.0,0.0
87513075,50,ga,ga,154.04778183990342,154.04778183990342,0.0,0.0
373199633,50,sa,sa,160.1866621321816,160.1866621321816,0.0,0.0
92529494,50,ga,ga,30.421055299090096,30.421055299090096,0.0,0.0
