f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
4.0,87.0,9919.432427923797,255.31246756330114,0.6045540413585366,87.0,15.407416559400847,15.544947253106617,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,0.6666666666666666,aco,78.02639515963702,72.31804773922971,39.84553012213111,0.6283450059999893,15.693560125000005,28.655275542000027,50,209433
4.0,102.0,11508.183585884057,242.75302363809413,8.55228797613991,102.0,14.296883480768907,19.2817082974445,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,77.82431008153753,74.59448138670788,41.03344151917221,1.176445441999988,21.843263005999972,32.10926432100001,50,169541
3.0,105.0,2060.0500777727752,600.759819760079,6.389393569988674,105.0,8.753134328592033,6.784077440489795,20.0,20.0,0.0,1.0,13.333333333333334,10.0,10.960818704235791,7.0710678118654755,0.0,ga,3552.8675803079846,1694.9364405174615,2491.717565331598,0.8082957020000094,14.959683699999971,26.986100074000035,50,219406
6.0,67.0,5320.209921043487,124.01526276023655,0.9508488745615756,67.0,24.941448134189372,11.37844938587222,20.0,20.0,0.0,1.0,17.0,5.0,14.17209224535743,5.0,0.3333333333333333,aco,122.78475860315616,117.71896085313642,43.70401849246025,1.0230969209999898,24.888971871999985,31.53838464300003,50,199460
4.0,86.0,13720.986799958117,270.2094537789587,1.9544654741767902,86.0,20.642391997226433,15.64156763165068,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,0.6666666666666666,aco,102.4799223503069,90.95511353861477,55.575157624208,0.6113467669999864,17.106136683999978,27.936605026999985,50,239352
5.0,102.0,8164.887047954807,114.37285155819089,9.355775768668147,102.0,24.497253952045146,13.769110262105912,20.0,20.0,0.0,1.0,18.2,9.0,14.828761827158445,6.4031242374328485,0.3,aco,42.19519190257478,177.11968872329172,27.338563308388686,1.3032633859999976,27.90029998899996,38.752530896999986,50,149595
5.0,59.0,2557.316161650551,420.34111477616585,2.4402263002140834,59.0,22.908299590070445,24.93628517107136,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,1.0,aco,26.540685660779793,23.99454618010198,16.54532165539847,0.6880511130000286,17.32719617600003,23.424655315999985,50,259298
6.0,85.0,1879.0600956299747,824.7098334697943,9.572601739470064,85.0,8.857808753384244,11.204820766872894,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.8666666666666667,aco,17.688132728211574,15.162336681980221,11.848861104836022,3.546265070000004,31.14754588399998,37.69758349699998,50,179514
4.0,39.0,5503.096430948531,625.9095446356562,1.3890601987663114,39.0,15.11402717984744,13.494577862612868,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,87.36850842608729,78.7829958978671,56.88839382445132,0.3672493689999783,7.418955559999972,13.874642053999992,50,299190
2.0,56.0,2281.589064447962,462.4817928653342,6.796342729600789,56.0,18.116340654789873,9.65077394031682,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,85.48668677492743,73.7881963686898,59.48099239020844,0.18185879000003524,4.60387225300002,10.058980210000016,50,369001
6.0,86.0,2553.1120822265298,106.92611515622417,6.885172115327293,86.0,18.614051796645857,20.33034963440091,20.0,20.0,0.0,1.0,17.0,5.0,14.17209224535743,5.0,0.9333333333333333,aco,14.66553498658983,13.993985254060458,8.061293776830146,1.3929205100000104,31.64006349600004,40.42877883599999,50,249325
4.0,74.0,7287.892773042716,248.64039721237674,9.377099480468958,74.0,10.423764984964823,23.943387568692053,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,1.0,aco,64.88642599357286,73.29306222819108,36.10989711972904,0.6925230809999903,14.916051704999973,22.893085152000026,50,339082
6.0,42.0,3969.499517733214,715.3342363484795,2.6099789789299765,42.0,17.190260997387323,10.942641262921128,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.7333333333333333,aco,50.78187487983728,46.48240653544054,28.73837874427061,0.9979312729999492,16.53410144999998,20.038882091000005,50,359028
6.0,62.0,1344.3850607397756,209.41072578186277,8.03093738564326,62.0,22.259340822968966,22.07758003591416,20.0,20.0,0.0,1.0,12.333333333333334,5.0,10.618300122022212,5.0,1.0,aco,11.011447921861995,8.729087668026885,6.836722815796469,1.222070776999999,21.728741392000018,28.53179480099999,50,329109
5.0,107.0,3393.9380742917288,691.9017685009485,9.716641127987158,107.0,6.4537889464988325,21.90851798954793,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,1.0,aco,29.571812213703897,23.977384348795333,18.488599266196946,1.9706247350000012,29.828288832,39.55386472699996,50,279244
4.0,91.0,12094.2495937518,483.3437510011095,5.266776439920786,91.0,8.93228130170288,10.693109075549653,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,0.8333333333333334,aco,114.19990689419822,84.1693734200186,63.21720576369822,1.0180645619999495,17.967757801999994,29.574872551999988,50,349055
